Região	Unidade	Latitude	Longitude	Altitude 	Altitude	Altitude	Fator 
CENTRO-OESTE	DF	-15,9461897	-47,8842643	1102,6907	1090,005	-12,69	-12,72
CENTRO-OESTE	DF	-15,5874563	-48,1143042	1342,5733	1329,804	-12,77	-12,87
CENTRO-OESTE	DF	-15,9478	-47,8769802	1113,8244	1101,081	-12,74	-12,74
CENTRO-OESTE	DF	-15,9467635	-47,8786248	1108,435	1095,703	-12,73	-12,73
CENTRO-OESTE	DF	-15,9486497	-47,8781856	1115,9802	1103,238	-12,74	-12,74
CENTRO-OESTE	DF	-15,9474753	-47,877869	1118,6967	1106,02	-12,68	-12,74
CENTRO-OESTE	DF	-15,7813644	-47,7906928	1072,7786	1059,904	-12,87	-12,86
CENTRO-OESTE	DF	-15,9603608	-47,6369519	964,0859	951,03	-13,06	-13,04
CENTRO-OESTE	DF	-15,620219	-47,6723851	961,3151	947,91	-13,41	-13,15
CENTRO-OESTE	DF	-16,0246319	-47,5457595	1038,6716	1025,616	-13,06	-13,12
CENTRO-OESTE	DF	-15,5633432	-47,6591913	1016,1522	1002,807	-13,35	-13,28
CENTRO-OESTE	DF	-15,5304971	-47,625435	1038,0818	1024,758	-13,32	-13,4
CENTRO-OESTE	DF	-15,8507793	-47,624065	1048,5401	1035,494	-13,05	-13,07
CENTRO-OESTE	DF	-15,7339082	-47,6616107	923,9042	910,795	-13,11	-13,09
CENTRO-OESTE	DF	-16,0374104	-47,4139167	872,2481	859,058	-13,19	-13,18
CENTRO-OESTE	DF	-15,7900531	-47,3805571	940,9268	927,563	-13,36	-13,32
CENTRO-OESTE	DF	-15,6289667	-47,3566289	919,0618	905,579	-13,48	-13,52
CENTRO-OESTE	DF	-15,9479968	-47,7123234	1013,1697	1000,167	-13	-13,07
CENTRO-OESTE	DF	-15,9788127	-47,8195672	1059,718	1046,867	-12,85	-12,87
CENTRO-OESTE	DF	-15,556042	-48,1959684	940,497	927,434	-13,06	-13,08
CENTRO-OESTE	DF	-16,0197671	-47,8008205	882,7131	869,761	-12,95	-12,91
CENTRO-OESTE	DF	-15,6938435	-48,216955	1076,601	1064,109	-12,49	-12,51
CENTRO-OESTE	DF	-15,6161161	-48,1979633	1126,8754	1114,13	-12,75	-12,79
CENTRO-OESTE	DF	-15,9377469	-47,8075108	1041,224	1028,395	-12,83	-12,84
CENTRO-OESTE	DF	-15,9274337	-47,8337306	1168,6037	1155,874	-12,73	-12,79
