REGIAO;UF;VALOR
CENTRO-OESTE;DF;1
CENTRO-OESTE;DF;1
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;DF;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;GO;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MS;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
